T,V
0,"0,0000"
1,"0,0390"
2,"0,0780"
3,"0,1170"
4,"0,1560"
5,"0,1950"
6,"0,2340"
7,"0,2730"
8,"0,3120"
9,"0,3520"
10,"0,3910"
11,"0,4310"
12,"0,4700"
13,"0,5100"
14,"0,5490"
15,"0,5890"
16,"0,6290"
17,"0,6690"
18,"0,7090"
19,"0,7490"
20,"0,7900"
21,"0,8300"
22,"0,8700"
23,"0,9110"
24,"0,9510"
25,"0,9920"
26,"1,0330"
27,"1,0740"
28,"1,1140"
29,"1,1550"
30,"1,1960"
31,"1,2380"
32,"1,2790"
33,"1,3200"
34,"1,3620"
35,"1,4030"
36,"1,4450"
37,"1,4860"
38,"1,5280"
39,"1,5700"
40,"1,6120"
41,"1,6540"
42,"1,6960"
43,"1,7380"
44,"1,7800"
45,"1,8230"
46,"1,8650"
47,"1,9080"
48,"1,9500"
49,"1,9930"
50,"2,0360"
51,"2,0790"
52,"2,1220"
53,"2,1650"
54,"2,2080"
55,"2,2510"
56,"2,2940"
57,"2,3380"
58,"2,3810"
59,"2,4250"
60,"2,4680"
61,"2,5120"
62,"2,5560"
63,"2,6000"
64,"2,6430"
65,"2,6870"
66,"2,7320"
67,"2,7760"
68,"2,8200"
69,"2,8640"